qid,image_name,image_organ,question,question_type,answer,answer_type
3,synpic28602.jpg,CHEST,What type of imaging does this not represent?,MODALITY,ultrasound,OPEN
5,synpic28602.jpg,CHEST,What is not pictured in this image?,ORGAN,The extremities,OPEN
11,synpic42202.jpg,CHEST,Which organ system is abnormal in this image?,ORGAN,Cardiovascular,OPEN
16,synpic54610.jpg,HEAD,What type of imaging is this?,MODALITY,MRI Diffusion Weighted,OPEN
17,synpic54610.jpg,HEAD,What organ system is pictured?,ORGAN,the brain,OPEN
26,synpic42202.jpg,CHEST,What type of image is this?,MODALITY,Chest X-ray,OPEN
29,synpic39460.jpg,HEAD,In what plane is this image oriented?,PLANE,Axial,OPEN
181,synpic18319.jpg,CHEST,Describe the lung abnormalities?,ABN,Pulmonary nodules,OPEN
182,synpic18319.jpg,CHEST,What abnormalities are seen within the lungs?,ABN,Pulmonary nodules,OPEN
183,synpic32933.jpg,CHEST,What is under the right hemidiaphragm?,PRES,Free air,OPEN
184,synpic32933.jpg,CHEST,What is the abnormality by the right hemidiaphragm?,PRES,Free air,OPEN
190,synpic40464.jpg,ABD,How would you describe the spleen abnormality,ATTRIB,hypodense lesion,OPEN
191,synpic40464.jpg,ABD,What is abnormal about the spleen?,ATTRIB,hypodense lesion,OPEN
192,synpic20260.jpg,ABD,What organ system is evaluated primarily?,ORGAN,GI,OPEN
198,synpic56799.jpg,HEAD,How would you describe the lesion?,ATTRIB,Ring-enhancing lesion,OPEN
199,synpic56799.jpg,HEAD,What are key characteristics of the lesion?,ATTRIB,Ring-enhancing lesion,OPEN
205,synpic55948.jpg,HEAD,How would you describe the abnormality?,ATTRIB,Diffuse,OPEN
207,synpic20260.jpg,ABD,What kind of scan is this?,MODALITY,CT,OPEN
210,synpic18461.jpg,CHEST,What kind of image is this?,MODALITY,Chest x-ray,OPEN
213,synpic40314.jpg,ABD,What organ is enlarged?,"PRES, POS",Pancreas,OPEN
214,synpic40314.jpg,ABD,Which organ has the abnormality?,"PRES, POS",Pancreas,OPEN
215,synpic31400.jpg,CHEST,where is the cavitary lesion?,POS,Right upper lobe,OPEN
216,synpic31400.jpg,CHEST,where is the abnormality?,POS,Right upper lobe,OPEN
218,synpic23130.jpg,ABD,What density is the abnormality?,COLOR,Hypodense,OPEN
219,synpic33889.jpg,ABD,What part of the liver is the mass located in?,POS,Left hepatic lobe,OPEN
220,synpic33889.jpg,ABD,Where is the mass in the liver?,POS,Left hepatic lobe,OPEN
221,synpic18461.jpg,CHEST,What organ is primarily evaluated in this image?,ORGAN,Lungs,OPEN
222,synpic57368.jpg,HEAD,What hemisphere are the lesions located in?,POS,Bilateral,OPEN
223,synpic57368.jpg,HEAD,Where are the abnormalities?,POS,Bilateral,OPEN
224,synpic20260.jpg,ABD,What does nodular liver suggest?,OTHER,Cirrhosis,OPEN
225,synpic20260.jpg,ABD,What does the shape of the liver suggest?,OTHER,Cirrhosis,OPEN
226,synpic20260.jpg,ABD,What is the brightness in the abdominal aorta?,PRES,Atherosclerotic calcification,OPEN
227,synpic20260.jpg,ABD,What causes hyper intensity in aorta?,PRES,Atherosclerotic calcification,OPEN
229,synpic51709.jpg,HEAD,Where in the brain is the lesion?,POS,right parietal lobe,OPEN
230,synpic51709.jpg,HEAD,Where is the lesion?,POS,right parietal lobe,OPEN
231,synpic31400.jpg,CHEST,Which organ system is imaged?,ORGAN,Chest,OPEN
234,synpic40464.jpg,ABD,What does the hypodensity suggest?,OTHER,metastasis,OPEN
235,synpic40464.jpg,ABD,What caused the lesion?,OTHER,metastasis,OPEN
236,synpic33889.jpg,ABD,In what plane is this image taken?,PLANE,axial,OPEN
238,synpic49914.jpg,CHEST,Which plane is this image taken?,PLANE,PA,OPEN
239,synpic21044.jpg,CHEST,What is abnormal about the hila?,ATTRIB,Enlarged,OPEN
241,synpic49914.jpg,CHEST,What is happening in the right lung?,ABN,Volume loss,OPEN
242,synpic49914.jpg,CHEST,What is finding in the right lung?,ABN,Volume loss,OPEN
244,synpic40464.jpg,ABD,How many lesions are in the spleen?,COUNT,one,OPEN
252,synpic31400.jpg,CHEST,What abnormalities are in the lung apices?,ABN,Nodular opacities,OPEN
253,synpic31400.jpg,CHEST,What is seen in the lung apices?,ABN,Nodular opacities,OPEN
255,synpic18319.jpg,CHEST,What can cause asymmetrical breasts?,OTHER,Prior surgery,OPEN
256,synpic18319.jpg,CHEST,Why are the breasts asymmetrical?,OTHER,Prior surgery,OPEN
260,synpic57368.jpg,HEAD,How would you describe the abnormalities,ATTRIB,Ring-enhancing lesions,OPEN
262,synpic56799.jpg,HEAD,What lobe is the lesion located in?,POS,right temporal lobe,OPEN
263,synpic56799.jpg,HEAD,Where is the abnormality located?,POS,right temporal lobe,OPEN
264,synpic21734.jpg,ABD,What organ is the mass in?,POS,Pancreas,OPEN
265,synpic21734.jpg,ABD,Where is the mass?,POS,Pancreas,OPEN
266,synpic45162.jpg,ABD,What abnormalities are in the right upper quadrant?,PRES,Gallstones,OPEN
267,synpic45162.jpg,ABD,What is in the right upper quadrant?,PRES,Gallstones,OPEN
268,synpic29219.jpg,ABD,Which kidney is abnormal?,POS,Right,OPEN
269,synpic29219.jpg,ABD,Which kidney has abnormalities?,POS,Right,OPEN
272,synpic51709.jpg,HEAD,What is the image suggestive of?,OTHER,abscess,OPEN
273,synpic51709.jpg,HEAD,What is the lesion most likely to be?,OTHER,abscess,OPEN
274,synpic29219.jpg,ABD,Describe the lesions in the right kidney?,ATTRIB,Cystic lesions,OPEN
275,synpic29219.jpg,ABD,What is seen in the right kidney?,PRES,Cystic lesions,OPEN
278,synpic21044.jpg,CHEST,How would you describe the aortopulmonary window?,ATTRIB,middle mogul,OPEN
279,synpic21044.jpg,CHEST,What characteristic finding do you see in the aortopulmonary window?,PRES,middle mogul,OPEN
280,synpic21044.jpg,CHEST,Which sign do you see in the aortopulmonary window in this image?,PRES,middle mogul,OPEN
285,synpic49914.jpg,CHEST,Where is the diffuse pleural thickening?,POS,Right lung,OPEN
286,synpic49914.jpg,CHEST,Which lung is abnormal?,POS,Right lung,OPEN
292,synpic23130.jpg,ABD,Where is the abnormality?,POS,Right lobe of the liver,OPEN
293,synpic23130.jpg,ABD,Where is the hypodensity located?,POS,Right lobe of the liver,OPEN
296,synpic46720.jpg,HEAD,Which hemisphere is the ischemia located?,POS,Right hemisphere,OPEN
297,synpic46720.jpg,HEAD,Where is the abnormality?,POS,Right PCA,OPEN
302,synpic18319.jpg,CHEST,Where is the catheter tip located?,POS,Right superior cavoatrial junction,OPEN
303,synpic18319.jpg,CHEST,Where does the catheter tip extend into?,POS,Right superior cavoatrial junction,OPEN
304,synpic31400.jpg,CHEST,What kind of image is this?,MODALITY,x-ray,OPEN
310,synpic46720.jpg,HEAD,What does the abnormality suggest?,Other,Ischemia,OPEN
311,synpic46720.jpg,HEAD,What causes the hyperintensity?,Other,Ischemia,OPEN
316,synpic59356.jpg,HEAD,Where is the mass?,POS,Suprasellar cistern,OPEN
317,synpic59356.jpg,HEAD,Where is the mass located?,POS,Suprasellar cistern,OPEN
320,synpic29219.jpg,ABD,Which plane is the image taken?,PLANE,Axial,OPEN
321,synpic57520.jpg,HEAD,Where is this plane relative to the eyes?,PLANE,Above,OPEN
322,synpic24390.jpg,CHEST,How was this x-ray taken?,PLANE,PA,OPEN
330,synpic47783.jpg,CHEST,How wide is the cardiac shadow?,SIZE,Less than half the thorax,OPEN
334,synpic45557.jpg,CHEST,What lesions are present in the lungs?,PRES,,OPEN
335,synpic21604.jpg,ABD,How big is the liver lesion?,SIZE,5 cm,OPEN
336,synpic21604.jpg,ABD,What is the size of the mass lesion?,SIZE,5 cm,OPEN
337,synpic21604.jpg,ABD,What is the modality by which the image was taken?,MODALITY,CT,OPEN
339,synpic34449.jpg,CHEST,Where in the image are the calcifications located?,POS,High on the image,OPEN
340,synpic31962.jpg,CHEST,Where is the aortic arch?,POS,Right side,OPEN
341,synpic31962.jpg,CHEST,Which side of the image is the aortic arch visualized?,POS,Right side,OPEN
343,synpic19477.jpg,CHEST,Where is the lung lesion located?,POS,Right lung,OPEN
344,synpic19477.jpg,CHEST,Which lobe of the lung is the lesion located in?,POS,Right upper lobe,OPEN
347,synpic24220.jpg,ABD,Where in this image are the bowel loops?,POS,Left side,OPEN
349,synpic41050.jpg,ABD,What indicates that appendicitis is present?,PRES,Periappendiceal fluid and fat stranding,OPEN
352,synpic27985.jpg,ABD,How many instances of intussusception are in the image?,COUNT,One,OPEN
355,synpic27985.jpg,ABD,"Besides the intestines, what other organs are present?",PRES,kidneys,OPEN
360,synpic27985.jpg,ABD,Where is the intussesception located?,POS,Small bowel,OPEN
361,synpic39532.jpg,CHEST,How many lesions are present in the image?,COUNT,One,OPEN
366,synpic34836.jpg,HEAD,Where on the image is the lesion?,POS,Left temporal lobe,OPEN
367,synpic34449.jpg,CHEST,Which side is more clearly visualized?,"POS, PRES",Left,OPEN
368,synpic34449.jpg,CHEST,Which lung is clearer?,"POS, PRES",Left,OPEN
369,synpic34449.jpg,CHEST,What are the two major organs present in this image?,ORGAN,Heart 	lungs,OPEN
375,synpic24390.jpg,CHEST,How wide is the heart compared to the thorax?,SIZE,It is less than half the width of the thorax,OPEN
379,synpic21995.jpg,ABD,Where is the largest cystic lesion in the image?,POS,Left kidney,OPEN
382,synpic21995.jpg,ABD,"What is denser, the cystic lesions or the kidney parenchyma?",COLOR,cystic lesions,OPEN
393,synpic19782.jpg,CHEST,Where is free air trapped subcutaneously in this image?,POS,Above the clavicles bilaterally,OPEN
395,synpic21604.jpg,ABD,What is the organ system visualized?,ORGAN,Gastrointestinal,OPEN
399,synpic39532.jpg,CHEST,Where is the lesion?,POS,Right lower lobe,OPEN
400,synpic39532.jpg,CHEST,Which lung lobe is the lesion present in?,POS,Right lower lobe,OPEN
405,synpic19477.jpg,CHEST,At which rib is the lesion located?,POS,7th rib,OPEN
406,synpic19477.jpg,CHEST,What rib is the lesion located inferior to?,POS,7th rib,OPEN
407,synpic23803.jpg,CHEST,On which side is the cardiac border more obscured?,POS,Right,OPEN
408,synpic23803.jpg,CHEST,Where is the cardiac border more obscured?,POS,Right,OPEN
409,synpic33689.jpg,ABD,What organ system is primarily present in this image?,ORGAN,Gastrointestinal,OPEN
410,synpic19477.jpg,CHEST,Which side of the cardiac border is more prominent?,POS,Left,OPEN
411,synpic19477.jpg,CHEST,Which cardiac border is more prominently visualized?,POS,Left,OPEN
416,synpic13385.jpg,CHEST,Which lung has more extensive infiltration?,POS,Left,OPEN
417,synpic13385.jpg,CHEST,Where are the most infiltrates located?,POS,Left lung,OPEN
418,synpic33689.jpg,ABD,How would you describe the duodenum?,ATTRIB,Edematous,OPEN
421,synpic24390.jpg,CHEST,Where is the largest air collection in this image?,POS,Right lung base,OPEN
422,synpic31955.jpg,CHEST,Where is the lesion located?,POS,Anterior mediastinum,OPEN
423,synpic31955.jpg,CHEST,What is the location of the primary lesion?,POS,Right lung hilum,OPEN
426,synpic57520.jpg,HEAD,Which side is the lateral ventricle visible on?,POS,Left,OPEN
427,synpic57520.jpg,HEAD,Where is the lateral ventricle?,POS,left hemisphere,OPEN
428,synpic21604.jpg,ABD,Where is the lesion located?,POS,Right lobe,OPEN
429,synpic21604.jpg,ABD,Which liver lobe is the lesion in?,POS,Right lobe,OPEN
440,synpic34449.jpg,CHEST,Where is the subcutaneous air collection?,POS,On the right shoulder.,OPEN
444,synpic23053.jpg,CHEST,What is the opacity near the left lung apex?,PRES,Pacemaker,OPEN
445,synpic13385.jpg,CHEST,What is in the left apex?,PRES,A bullous lesion,OPEN
447,synpic31955.jpg,CHEST,Where is the lesion located?,POS,Anterior mediastinum,OPEN
448,synpic31955.jpg,CHEST,Which side of the heart border is obscured?,POS,Right,OPEN
449,synpic34449.jpg,CHEST,How was this image taken?,MODALITY,X-ray,OPEN
450,synpic24220.jpg,ABD,Where are the kidney?,POS,Not seen here,OPEN
452,synpic23053.jpg,CHEST,Where is the lesion?,POS,In the right hilum,OPEN
453,synpic23053.jpg,CHEST,Which lobe is the lesion located in?,POS,Upper right lobe,OPEN
455,synpic35914.jpg,ABD,Where is the colon most prominent from this view?,POS,Left,OPEN
459,synpic45557.jpg,CHEST,Where on the image is most obscured?,POS,Right lung base,OPEN
472,synpic53978.jpg,HEAD,What structures are visible in this image?,ORGAN,Skull 	cartilage and medulla,OPEN
484,synpic52951.jpg,CHEST,What is the organ principally shown in this image?,ORGAN,Lung,OPEN
490,synpic31916.jpg,CHEST,What is the name of this image's plane?,PLANE,Posteroanterior,OPEN
491,synpic52951.jpg,CHEST,What type of image is this?,MODALITY,Plain film x-ray,OPEN
502,synpic60096.jpg,HEAD,What is the plane of this image?,PLANE,Axial,OPEN
527,synpic39240.jpg,HEAD,What is the plane of this image?,PLANE,Axial,OPEN
531,synpic50949.jpg,ABD,What type of image is this?,MODALITY,CT with contrast,OPEN
546,synpic42307.jpg,HEAD,What bright white structures form an X?,PRES,lateral ventricles,OPEN
547,synpic42307.jpg,HEAD,"What are the bright white structures, almost forming an X""?""",PRES,lateral ventricles,OPEN
557,synpic28378.jpg,CHEST,What is the likely sex of this patient?,OTHER,Female,OPEN
570,synpic48749.jpg,HEAD,The dark areas of the image show what type of brain matter?,PRES,White matter,OPEN
571,synpic46943.jpg,HEAD,Which ventricles are visible?,ORGAN,Lateral ventricles,OPEN
577,synpic42307.jpg,HEAD,Would you suspect abcess or cancer for this finding?,OTHER,Abscess,OPEN
579,synpic43648.jpg,ABD,What are the dark areas at the top of the picture?,PRES,Large bowel,OPEN
580,synpic43648.jpg,ABD,What is the dark space in the body cavity near the top of the image?,PRES,Large bowel,OPEN
602,synpic47196.jpg,ABD,What hypoattenuated tissue is between the abdominal wall and skin?,PRES,fat,OPEN
603,synpic47196.jpg,ABD,What is the dark structure underneath the skin?,PRES,fat,OPEN
642,synpic49027.jpg,HEAD,what is the secondary pathology?,ABN,moderate edema,OPEN
643,synpic49027.jpg,HEAD,What is the secondary abnormality in this image?,ABN,moderate edema,OPEN
646,synpic22037.jpg,CHEST,Where is the tip of the line?,POS,mid left subclavian vein,OPEN
647,synpic22037.jpg,CHEST,Where is the tip of the Port-a-Cath catheter located?,POS,mid left subclavian vein,OPEN
661,synpic24424.jpg,ABD,What is the location of the mass,POS,anterior to the transverse colon,OPEN
662,synpic24424.jpg,ABD,where is the mass located?,POS,anterior to the transverse colon,OPEN
674,synpic49027.jpg,HEAD,What is the primary abnormality in this image?,ABN,ring enhancing lesion in the left occipital lobe,OPEN
675,synpic49027.jpg,HEAD,what is the primary pathology,ABN,ring enhancing lesion in the left occipital lobe,OPEN
678,synpic51383.jpg,HEAD,How was this image taken,MODALITY,T2-MRI,OPEN
681,synpic44995.jpg,HEAD,The pathology is located in which lobes of the brain?,"POS, ABN",parietal and occipital lobes,OPEN
682,synpic44995.jpg,HEAD,which lobes demonstrate pathology,"POS, ABN",parietal and occipital lobes,OPEN
683,synpic39301.jpg,HEAD,What is the likely pathology?,OTHER,PRES,OPEN
684,synpic39301.jpg,HEAD,What is the most likely cause of these abnormalities?,OTHER,PRES,OPEN
687,synpic18651.jpg,CHEST,Describe the pathology,ABN,cardiomegaly with pulmonary edema,OPEN
688,synpic18651.jpg,CHEST,what is the pathology?,ABN,cardiomegaly with pulmonary edema,OPEN
690,synpic39301.jpg,HEAD,What organ system is displayed?,ORGAN,CNS,OPEN
695,synpic43433.jpg,ABD,what is the location of the mass?,POS,cecum,OPEN
696,synpic43433.jpg,ABD,Where is the mass?,POS,cecum,OPEN
700,synpic51383.jpg,HEAD,What organ system is this?,ORGAN,CNS,OPEN
701,synpic55464.jpg,CHEST,what it causing the widening?,OTHER,mass,OPEN
702,synpic55464.jpg,CHEST,What is the widened mediastinum caused by?,OTHER,mass,OPEN
705,synpic32962.jpg,CHEST,What organ system is the pathology?,ORGAN,pulmonary/lymphatic,OPEN
706,synpic32962.jpg,CHEST,What is the modality?,MODALITY,CXR,OPEN
710,synpic51926.jpg,ABD,in what system is the pathology?,ORGAN,GI,OPEN
711,synpic51926.jpg,ABD,What system is this pathology in?,ORGAN,GI,OPEN
718,synpic23989.jpg,CHEST,What plane is demonstrated?,PLANE,Coronal,OPEN
721,synpic49027.jpg,HEAD,How would you characterize the lesion?,ATTRIB,ring enhancing lesion,OPEN
722,synpic49027.jpg,HEAD,What is the characterization of the lesion,ATTRIB,ring enhancing lesion,OPEN
723,synpic51872.jpg,CHEST,what is the location of the cavitary lesion,POS,Right upper lobe,OPEN
724,synpic51872.jpg,CHEST,Where is the cavitary lesion located?,POS,Right upper lobe,OPEN
731,synpic23989.jpg,CHEST,What is the pathology?,ABN,Left Apical Pneumothorax,OPEN
732,synpic23989.jpg,CHEST,What pathology is shown?,ABN,Left Apical Pneumothorax,OPEN
735,synpic55464.jpg,CHEST,What plane is this film,PLANE,coronal,OPEN
740,synpic51383.jpg,HEAD,What is the lesion's disease origin?,OTHER,vascular,OPEN
741,synpic51383.jpg,HEAD,"What disease origin is the lesion(eg, vascular vs. neoplastic)?",OTHER,vascular,OPEN
746,synpic24424.jpg,ABD,what is the composition of the mass?,ATTRIB,fat,OPEN
747,synpic24424.jpg,ABD,What is this mass primarily made of?,ATTRIB,fat,OPEN
750,synpic46976.jpg,CHEST,What is the pathology in this image?,ABN,cardiomegaly,OPEN
751,synpic46976.jpg,CHEST,what pathology is demonstrated?,ABN,cardiomegaly,OPEN
758,synpic31259.jpg,CHEST,This radiograph contains what foreign body?,PRES,sternotomy wires and surgical clips,OPEN
759,synpic31259.jpg,CHEST,what is the foreign body,PRES,sternotomy wires and surgical clips,OPEN
760,synpic21700.jpg,ABD,what is the location of the mass?,POS,head of the pancreas,OPEN
761,synpic21700.jpg,ABD,Where is the mass located?,POS,head of the pancreas,OPEN
762,synpic22037.jpg,CHEST,what is the plane?,PLANE,coronal,OPEN
763,synpic39301.jpg,HEAD,What modality is shown?,MODALITY,FLAIR MRI,OPEN
768,synpic38858.jpg,HEAD,What type of MRI sequence is displayed in this image?,MODALITY,T2 weighted MRI,OPEN
801,synpic55317.jpg,HEAD,In what plane is this MRI taken?,PLANE,Axial,OPEN
802,synpic21042.jpg,CHEST,What type of imaging modality is seen in this image?,MODALITY,X-ray plain film,OPEN
806,synpic21042.jpg,CHEST,What is one organ system seen in this image?,ORGAN,Respiratory System,OPEN
810,synpic35155.jpg,ABD,What part of the body is being imaged?,ORGAN,The abdomen,OPEN
811,synpic27047.jpg,CHEST,What type of imaging modality is this?,MODALITY,Xray - plain film,OPEN
816,synpic34854.jpg,HEAD,What type of MRI sequence is this?,MODALITY,Diffusion Weighted Imaging (DWI),OPEN
817,synpic20208.jpg,ABD,In what plane was this image taken?,PLANE,Axial plane,OPEN
835,synpic53635.jpg,ABD,What imaging modality is seen here?,MODALITY,CT with GI and IV contrast,OPEN
846,synpic53635.jpg,ABD,What part of the body is being imaged here?,ORGAN,abdomen,OPEN
850,synpic45914.jpg,HEAD,Where is the bleed?,POS,Subarachnoid,OPEN
851,synpic45914.jpg,HEAD,What kind of brain bleed is this?,PRES,Subarachnoid,OPEN
853,synpic54004.jpg,HEAD,Where is the enhancement in left rectus muscles?,POS,Medial rectus,OPEN
854,synpic54004.jpg,HEAD,Which rectus muscles are enhanced on the left?,POS,Medial rectus,OPEN
857,synpic26248.jpg,CHEST,Diaphragm is elevated on which side?,POS,Right,OPEN
858,synpic26248.jpg,CHEST,Which side of the diaphragm is elevated?,POS,Right,OPEN
859,synpic41119.jpg,ABD,Where does the L renal vein connect to,PRES,IVC,OPEN
860,synpic41119.jpg,ABD,Where does the L renal vein drain into?,PRES,IVC,OPEN
862,synpic17848.jpg,CHEST,What type of image is this?,MODALITY,Chest xray,OPEN
865,synpic54802.jpg,HEAD,What side are the infarcts located?,POS,Bilateral,OPEN
866,synpic54802.jpg,HEAD,Where are the infarcts seen?,POS,Bilateral,OPEN
870,synpic45634.jpg,HEAD,How would you describe the lesions?,ATTRIB,Loculated,OPEN
871,synpic45634.jpg,HEAD,What is one adjective to describe the lesion(s)?,ATTRIB,Loculated,OPEN
875,synpic53033.jpg,HEAD,What side of the brain is a lesion on?,POS,Left,OPEN
877,synpic22097.jpg,CHEST,What kind of image is this?,MODALITY,chest x Ray,OPEN
878,synpic22097.jpg,CHEST,What modality is this?,MODALITY,chest x Ray,OPEN
881,synpic54004.jpg,HEAD,Where is the enhancement in right rectus muscles?,POS,Medial and lateral rectus,OPEN
882,synpic54004.jpg,HEAD,Which Rectus muscles are enhanced on the right?,POS,Medial and lateral rectus,OPEN
886,synpic35191.jpg,HEAD,What plane is this?,PLANE,Axial,OPEN
889,synpic53097.jpg,HEAD,What is the location of the mass?,SIZE,Pineal gland,OPEN
890,synpic53097.jpg,HEAD,Where is the mass located?,SIZE,Pineal gland,OPEN
894,synpic26248.jpg,CHEST,The air fluid level is in which location?,POS,Cardiac region,OPEN
895,synpic26248.jpg,CHEST,Where is there an air fluid level?,POS,Cardiac region,OPEN
896,synpic40520.jpg,CHEST,Where is there evidence of a pleural effusion?,POS,Right side,OPEN
897,synpic40520.jpg,CHEST,Where is the pleural effusion located?,POS,Right side,OPEN
900,synpic54802.jpg,HEAD,What do the hyperdensities represent?,PRES,Infarct,OPEN
901,synpic54802.jpg,HEAD,What are the hyperdensities indicative of?,PRES,Infarct,OPEN
903,synpic57813.jpg,HEAD,What type of image modality is this?,MODALITY,MR FLAIR,OPEN
904,synpic57813.jpg,HEAD,Which image modality is this?,MODALITY,MR FLAIR,OPEN
905,synpic17693.jpg,CHEST,How is the image oriented?,PLANE,PA,OPEN
906,synpic17693.jpg,CHEST,What plane is this X-ray in?,PLANE,PA,OPEN
909,synpic41119.jpg,ABD,What side of the abdomen is the aorta on?,POS,Left,OPEN
910,synpic41119.jpg,ABD,Where is the aorta located relative to the midline?,POS,Left,OPEN
911,synpic22097.jpg,CHEST,Which side is abnormal?,POS,Left,OPEN
912,synpic22097.jpg,CHEST,Which lung has a defect?,POS,Left,OPEN
916,synpic45634.jpg,HEAD,What area is abnormal?,POS,Right cerebellum,OPEN
917,synpic45634.jpg,HEAD,Where is/are the abnormality located?,POS,Right cerebellum,OPEN
918,synpic54802.jpg,HEAD,Where are the acute infarcts?,POS,R frontal lobe,OPEN
919,synpic54802.jpg,HEAD,Where do you see acute infarcts?,POS,R frontal lobe,OPEN
920,synpic57813.jpg,HEAD,In which area of the brain are the infarcts found?,POS,Right Cerebellum,OPEN
921,synpic57813.jpg,HEAD,Where are the infarcts located?,POS,Right Cerebellum,OPEN
922,synpic17848.jpg,CHEST,What organ systems can be evaluated with this image?,ORGAN,Respiratory 	cardia c	musculoskeletal,OPEN
925,synpic52732.jpg,HEAD,What side is the lesion located on?,POS,Right,OPEN
926,synpic52732.jpg,HEAD,Where is the lesion?,POS,Right,OPEN
935,synpic59131.jpg,HEAD,What is seen in the occipital lobe?,PRES,Ring enhancing lesion,OPEN
936,synpic59131.jpg,HEAD,What is abnormal about the occipital lobe?,PRES,Ring enhancing lesion,OPEN
940,synpic41119.jpg,ABD,What plane is this image in?,PLANE,Axial,OPEN
941,synpic41119.jpg,ABD,Which plane is the image shown in?,PLANE,Axial,OPEN
942,synpic35191.jpg,HEAD,Where are the lesions located?,POS,bilateral cerebellum,OPEN
943,synpic35191.jpg,HEAD,Where are the lesions located?,POS,bilateral cerebellum,OPEN
946,synpic49862.jpg,HEAD,Where is the lesion located?,POS,Left Parietal lobe,OPEN
947,synpic49862.jpg,HEAD,Which lobe is the lesion in?,POS,Left Parietal lobe,OPEN
950,synpic16407.jpg,CHEST,What type of image is this?,MODALITY,Chest X-ray,OPEN
