qid,image_name,image_organ,question,question_type,answer,answer_type
951,synpic16407.jpg,CHEST,What image modality is this?,MODALITY,Chest X-ray,OPEN
952,synpic26248.jpg,CHEST,What are the hyperdense findings in the mediastinum?,PRES,Sternal wires,OPEN
953,synpic26248.jpg,CHEST,What are seen as hyperdense in the mediastinum of this image?,PRES,Sternal wires,OPEN
958,synpic18896.jpg,CHEST,What is the abnormality seen above the heart on the patient's right side?,PRES,right sided aortic arch,OPEN
959,synpic18896.jpg,CHEST,what is the bump seen above the heart on the patient's right side?,PRES,right sided aortic arch,OPEN
961,synpic23631.jpg,HEAD,Brain structure shown in this image?,PRES,cerebellum,OPEN
962,synpic23631.jpg,HEAD,What part of the brain is seen in this image?,PRES,cerebellum,OPEN
963,synpic60254.jpg,HEAD,What type of imaging modality is used to acquire the above image?,MODALITY,MRI - T2 weighted,OPEN
964,synpic37605.jpg,HEAD,What lobe of the brain is the lesion located in?,POS,Right frontal lobe,OPEN
965,synpic37605.jpg,HEAD,Where is the brain lesion located?,POS,Right frontal lobe,OPEN
966,synpic46062.jpg,HEAD,The image is taken in what plane?,PLANE,axial,OPEN
967,synpic46062.jpg,HEAD,What plane is the above image acquired in?,PLANE,axial,OPEN
968,synpic31394.jpg,CHEST,In what plane is the above taken?,PLANE,PA,OPEN
970,synpic52828.jpg,ABD,Is this image taken with or without contrast?,MODALITY,with contrast,OPEN
971,synpic52828.jpg,ABD,Was contrast used to take this image?,MODALITY,with contrast,OPEN
974,synpic32970.jpg,CHEST,What is the location of the lesion?,POS,right lower lateral lung field,OPEN
975,synpic32970.jpg,CHEST,Where is the lesion located?,POS,right lower lateral lung field,OPEN
976,synpic17738.jpg,CHEST,How large is the mass in the right upper quadrant?,SIZE,3.4 cm,OPEN
977,synpic17738.jpg,CHEST,Size of the mass in the right upper quadrant?,SIZE,3.4 cm,OPEN
980,synpic46062.jpg,HEAD,What is the location of the mass?,POS,sella and suprasellar cistern,OPEN
981,synpic46062.jpg,HEAD,Where is the mass located?,POS,sella and suprasellar cistern,OPEN
983,synpic42805.jpg,CHEST,What is the biological sex of the patient?,OTHER,Female,OPEN
984,synpic17153.jpg,HEAD,MRI imaging modality used for this image?,MODALITY,T2 weighted,OPEN
985,synpic17153.jpg,HEAD,What type of MRI is used to acquire this image?,MODALITY,T2 weighted,OPEN
986,synpic30273.jpg,ABD,"The patient's left contains a bright round organ, what is it?",PRES,Left kidney,OPEN
987,synpic30273.jpg,ABD,What is the bright round organ seen on the patient's left?,PRES,Left kidney,OPEN
990,synpic46062.jpg,HEAD,What organ system is shown in the above image?,ORGAN,Brain,OPEN
991,synpic46062.jpg,HEAD,What is the organ system in this image?,ORGAN,Brain,OPEN
993,synpic57317.jpg,HEAD,What organ system is being imaged?,ORGAN,Brain,OPEN
996,synpic51426.jpg,HEAD,The hemorrhage is adjacent to what structures?,PRES,Left thalamus and basal ganglia,OPEN
997,synpic51426.jpg,HEAD,What structures are located near the hemorrhage shown?,PRES,Left thalamus and basal ganglia,OPEN
998,synpic60254.jpg,HEAD,What cranial nerves may be affected by the lesion seen in the above image?,ABN,Oculomotor nerve (CN III) and Trigeminal nerves (CN V),OPEN
999,synpic60254.jpg,HEAD,Which cranial nerves are possibly affected by this lesion?,ABN,Oculomotor nerve (CN III) and Trigeminal nerves (CN V),OPEN
1003,synpic51426.jpg,HEAD,What type of MRI is this?,MODALITY,T2,OPEN
1004,synpic51426.jpg,HEAD,What is the modality of this MRI?,MODALITY,T2,OPEN
1005,synpic18896.jpg,CHEST,Imaging modality used to take this image?,MODALITY,PA Xray,OPEN
1006,synpic18896.jpg,CHEST,What imaging modality is used to acquire this picture?,MODALITY,PA Xray,OPEN
1007,synpic60254.jpg,HEAD,What major artery of the brain may be affected by the lesion seen in the above image?,PRES,Basilar artery,OPEN
1008,synpic60254.jpg,HEAD,Which major artery of the brain is affected by this lesion?,PRES,Basilar artery,OPEN
1009,synpic37605.jpg,HEAD,What MRI imaging sequence is shown above?,MODALITY,T2 weighted,OPEN
1010,synpic37605.jpg,HEAD,What type of MRI is shown in the above image?,MODALITY,T2 weighted,OPEN
1021,synpic59536.jpg,HEAD,Where are the brain lesions located?,POS,Right hemisphere,OPEN
1022,synpic59536.jpg,HEAD,Which hemisphere of the brain are the lesions located in?,POS,Right hemisphere,OPEN
1027,synpic53287.jpg,HEAD,What ventricle is the lesion compressing?,ABN,4th ventricle,OPEN
1028,synpic53287.jpg,HEAD,Which ventricle is compressed by the lesion?,ABN,4th ventricle,OPEN
1030,synpic57317.jpg,HEAD,Where do you see a large hematoma?,POS,right lateral ventricle,OPEN
1031,synpic57317.jpg,HEAD,Where is the large hematoma located?,POS,right lateral ventricle,OPEN
1032,synpic56422.jpg,HEAD,What organ system is shown in the above image?,ORGAN,Brain,OPEN
1033,synpic56422.jpg,HEAD,Which organ system is shown in the image?,ORGAN,Brain,OPEN
1034,synpic59536.jpg,HEAD,MRI imaging modality used?,MODALITY,DWI,OPEN
1035,synpic59536.jpg,HEAD,What type of MRI is the above image?,MODALITY,DWI,OPEN
1038,synpic53287.jpg,HEAD,In which brain area is the lesion located?,POS,Right cerebellopontine angle,OPEN
1039,synpic53287.jpg,HEAD,Where is the lesion located?,POS,Right cerebellopontine angle,OPEN
1042,synpic51426.jpg,HEAD,In what plane is the image above captured?,PLANE,Axial,OPEN
1043,synpic27576.jpg,ABD,What organ contains multiple lesions in the above image?,PRES,Kidneys,OPEN
1044,synpic27576.jpg,ABD,Which organ has multiple lesions?,PRES,Kidneys,OPEN
1047,synpic31256.jpg,CHEST,How was this image taken?,MODALITY,X-ray,OPEN
1048,synpic31256.jpg,CHEST,What imaging modality is seen?,MODALITY,X-ray,OPEN
1051,synpic17738.jpg,CHEST,What organ system is being imaged?,ORGAN,Chest,OPEN
1052,synpic30273.jpg,ABD,The tissue within the hyperattenuating ovoid mass adjacent to the ascending colon is similar in density to what tissue normally found?,OTHER,Adipose tissue,OPEN
1053,synpic30273.jpg,ABD,The tissue in the hyperattenuating ovoid mass on the patient's right is similar density wise to what tissue that is normally found?,OTHER,Adipose tissue,OPEN
1054,synpic56422.jpg,HEAD,How was this MRI taken?,MODALITY,DWI,OPEN
1055,synpic56422.jpg,HEAD,What type of MRI is this?,MODALITY,DWI,OPEN
1056,synpic42805.jpg,CHEST,In which lobes do you see a higher density of masses?,POS,Upper lobes,OPEN
1057,synpic42805.jpg,CHEST,Which lobes of the lung contain a higher density of masses?,POS,Upper lobes,OPEN
1060,synpic60254.jpg,HEAD,The lesion seen in the image above is isointense to what object that is normally found in the brain?,OTHER,CSF,OPEN
1061,synpic60254.jpg,HEAD,The lesion is isointense to what object normally found in the brain?,OTHER,CSF,OPEN
1064,synpic23631.jpg,HEAD,In what plane is this image taken?,PLANE,axial,OPEN
1065,synpic57317.jpg,HEAD,What imaging modality is used?,MODALITY,MRI - T1 weighted,OPEN
1066,synpic57317.jpg,HEAD,The condition in which a patient has enlarged ventricles as seen in this image?,PRES,Hydrocephalus,OPEN
1067,synpic57317.jpg,HEAD,What is the condition in which the ventricles are enlarged as seen in this image?,PRES,Hydrocephalus,OPEN
1068,synpic60254.jpg,HEAD,What organ system is visualized in the above image?,ORGAN,Brain,OPEN
1069,synpic52828.jpg,ABD,How was this image taken?,MODALITY,CT,OPEN
1070,synpic52828.jpg,ABD,What imaging modality is used?,MODALITY,CT,OPEN
1072,synpic17738.jpg,CHEST,In which lobe do you see an abnormal mass in the above images?,POS,Right upper lobe,OPEN
1073,synpic17738.jpg,CHEST,Where is the abnormal mass located with respect to the lungs?,POS,Right upper lobe,OPEN
1076,synpic31256.jpg,CHEST,The azygoesophageal recess is deviated in which direction?,POS,right,OPEN
1077,synpic31256.jpg,CHEST,Which direction is the azygoesophageal recess deviated?,POS,right,OPEN
1078,synpic17145.jpg,CHEST,In which side is the hemidiaphragm elevated?,POS,right,OPEN
1079,synpic17145.jpg,CHEST,Which diaphragm is elevated?,POS,right,OPEN
1083,synpic17738.jpg,CHEST,What imaging modality was used to take this image?,MODALITY,Xray,OPEN
1084,synpic23631.jpg,HEAD,Where is the abnormality?,POS,Right posteroinferior cerebellum,OPEN
1085,synpic23631.jpg,HEAD,What abnormality is present?,PRES,bleeding in the right posteroinferior cerebellum,OPEN
1094,synpic20626.jpg,HEAD,Where is the lesion located?,POS,Left cerebellum,OPEN
1095,synpic20626.jpg,HEAD,Where is the abnormality in this image?,POS,Left cerebellum,OPEN
1111,synpic22791.jpg,ABD,What is the hypodensity in the liver?,PRES,Gallbladder,OPEN
1113,synpic22791.jpg,ABD,What are the hyperdensities on the periphery of the left side,PRES,Ribs,OPEN
1114,synpic22791.jpg,ABD,What are the foci of hyperdensities on the left?,PRES,Ribs,OPEN
1115,synpic38069.jpg,HEAD,Where is the abnormality in this image?,POS,Choroid plexus,OPEN
1116,synpic38069.jpg,HEAD,Where is the mass located?,POS,Lateral ventricles,OPEN
1122,synpic16221.jpg,CHEST,What is the patient's gender?,OTHER,Female,OPEN
1133,synpic16221.jpg,CHEST,How can you tell there is no pneumothorax present?,OTHER,Lung markings present all the way laterally to the ribs,OPEN
1144,synpic33331.jpg,CHEST,What is located immediately inferior to the right hemidiaphragm?,ORGAN,The liver,OPEN
1148,synpic50958.jpg,ABD,What radiographic sign is seen in the intestines,PRES,air fluid level,OPEN
1149,synpic50958.jpg,ABD,What is the finding in lumen of the intestine called?,PRES,air fluid level,OPEN
1151,synpic28277.jpg,ABD,What are the multiple round hyperdensities located immediately inferior to the musculature?,PRES,Intestine,OPEN
1152,synpic28277.jpg,ABD,What are the anterior circular hyperdensities?,PRES,Intestine,OPEN
1155,synpic33302.jpg,CHEST,What is the air under the left hemidiaphragm?,PRES,Stomach bubble,OPEN
1156,synpic33302.jpg,CHEST,What is hyperdensity under the diaphragm on the left?,PRES,Stomach bubble,OPEN
1159,synpic59935.jpg,HEAD,Where is the infarct?,POS,Left cerebellum,OPEN
1160,synpic59935.jpg,HEAD,Which vessel is infarcted in this image?,POS,Right PICA,OPEN
1161,synpic34922.jpg,HEAD,What signs of cerebral edema are present?,PRES,Sulcal effacement,OPEN
1162,synpic34922.jpg,HEAD,Which signs of edema are visualized here?,PRES,Sulcal effacement,OPEN
1165,synpic59935.jpg,HEAD,What area of cerebrum is visible?,PRES,Temporal lobe,OPEN
1166,synpic59935.jpg,HEAD,Which lobe of the cerebrum is visible?,PRES,Temporal lobe,OPEN
1167,synpic37275.jpg,ABD,Which vertebral level is this image?,PRES,L2,OPEN
1168,synpic37275.jpg,ABD,What level of the spine is most likely seen here?,PRES,L2-3,OPEN
1172,synpic20626.jpg,HEAD,What are the black areas at the top of the image?,PRES,Maxillary sinuses,OPEN
1173,synpic20626.jpg,HEAD,What does the least dense region represent,PRES,Maxillary sinuses,OPEN
1175,synpic46764.jpg,HEAD,Where is the lesion located?,POS,Left occipital lobe,OPEN
1176,synpic46764.jpg,HEAD,Which lobe is the lesion in?,POS,Left occipital lobe,OPEN
1178,synpic34922.jpg,HEAD,Where is the lesion located?,POS,Right temporal lobe,OPEN
1179,synpic34922.jpg,HEAD,Where is the cortical lesion?,POS,Right temporal lobe,OPEN
1188,synpic28569.jpg,ABD,Where is the abnormality in this image?,POS,Left kidney,OPEN
1189,synpic28569.jpg,ABD,Where is the lesion located?,POS,Left kidney,OPEN
1196,synpic29771.jpg,ABD,What skeletal joint is seen in this image?,PRES,Sacroiliac joint,OPEN
1201,synpic28277.jpg,ABD,What material is the peripheral hypodensity?,PRES,Fat,OPEN
1202,synpic28277.jpg,ABD,What is the the dark gray surrounding the periphery of the image?,PRES,Fat,OPEN
1207,synpic20375.jpg,HEAD,What side is the lesion on?,POS,Right,OPEN
1212,synpic47974.jpg,ABD,What are the hyperdensities on the periphery of the image?,PRES,Ribs,OPEN
1213,synpic47974.jpg,ABD,What are the hyperdense opacities located around the periphery?,PRES,Ribs,OPEN
1232,synpic50958.jpg,ABD,What does the small white lesions in the aorta mean,PRES,Calcification,OPEN
1233,synpic50958.jpg,ABD,What do the hyperdensities in the aorta suggest?,PRES,Calcification,OPEN
1245,synpic40426.jpg,ABD,What is the shape of the mass?,ATTRIB,Elliptical,OPEN
1246,synpic40426.jpg,ABD,What is the form of the mass?,ATTRIB,Elliptical,OPEN
1248,synpic19232.jpg,CHEST,Describe the borders of the lesion.,ATTRIB,Smooth,OPEN
1249,synpic19232.jpg,CHEST,How are the borders of the lesion?,ATTRIB,Smooth,OPEN
1250,synpic48091.jpg,HEAD,What is the location of the mass?,POS,Left temporal horn,OPEN
1251,synpic48091.jpg,HEAD,Where is the mass?,POS,Left temporal horn,OPEN
1257,synpic51212.jpg,HEAD,Can you name the organ captured by this image?,ORGAN,Brain,OPEN
1258,synpic51212.jpg,HEAD,How would you describe the lesion?,ATTRIB,Ring-enhancing,OPEN
1259,synpic51212.jpg,HEAD,What is this type of lesion called?,PRES,Ring-enhancing,OPEN
1260,synpic31217.jpg,CHEST,What is the location of the abnormality?,POS,Right lung,OPEN
1261,synpic31217.jpg,CHEST,Where is the abnormality?,POS,Right lung,OPEN
1262,synpic32081.jpg,CHEST,What is the location of the abnormality?,POS,Right side of the trachea,OPEN
1263,synpic32081.jpg,CHEST,Where is the abnormality?,POS,Right side of the trachea,OPEN
1264,synpic55583.jpg,HEAD,Which plane is this image in?,PLANE,Axial,OPEN
1265,synpic53207.jpg,HEAD,The bottom of the image indicates what area of the brain?,ORGAN,Posterior brain,OPEN
1275,synpic45364.jpg,ABD,What is the location of the lesion?,POS,Abdomen and pelvis,OPEN
1276,synpic45364.jpg,ABD,Where is the lesion?,POS,Abdomen and pelvis,OPEN
1277,synpic47020.jpg,HEAD,What is wrong with the ventricles?,ABN,Lateral and third ventricular hydrocephalus,OPEN
1278,synpic47020.jpg,HEAD,What ventricular abnormalities are seen?,ABN,Lateral and third ventricular hydrocephalus,OPEN
1286,synpic19232.jpg,CHEST,How would you describe the location of the lesion?,POS,Retrocardiac,OPEN
1287,synpic19232.jpg,CHEST,Where is the lesion located?,POS,Retrocardiac,OPEN
1296,synpic51212.jpg,HEAD,How was this image taken?,MODALITY,MRI,OPEN
1299,synpic34054.jpg,ABD,What is the condition of the patient,ABN,Blind loop syndrome,OPEN
1300,synpic34054.jpg,ABD,What abnormality is seen?,ABN,Blind-ending loop of bowel arising from the cecum,OPEN
1303,synpic47020.jpg,HEAD,What is the location of the mass?,POS,Pineal region,OPEN
1304,synpic47020.jpg,HEAD,Where is the mass?,POS,Pineal region,OPEN
1309,synpic55583.jpg,HEAD,Where are the lesions?,POS,Bilateral frontal lobes,OPEN
1310,synpic53207.jpg,HEAD,What type of image is this?,MODALITY,MRI-DWI,OPEN
1312,synpic24878.jpg,ABD,What is the location of the abnormality?,POS,Right colon,OPEN
1313,synpic24878.jpg,ABD,Where is the abnormal finding?,POS,Right colon,OPEN
1314,synpic27646.jpg,CHEST,What plane is seen?,PLANE,PA,OPEN
1315,synpic48091.jpg,HEAD,How would you describe the mass?,ATTRIB,Isointense,OPEN
1316,synpic48091.jpg,HEAD,What are the characteristics of the mass?,ATTRIB,Isointense,OPEN
1317,synpic31217.jpg,CHEST,Which plane is this image taken in?,PLANE,PA,OPEN
1319,synpic47020.jpg,HEAD,What is the radiological description of the mass?,COLOR,Hyperintense,OPEN
1330,synpic24878.jpg,ABD,What is the condition?,ABN,Diverticulitis,OPEN
1331,synpic24878.jpg,ABD,What is the pathology?,ABN,Diverticulitis,OPEN
1333,synpic27646.jpg,CHEST,How can the distribution in this image be described?,ATTRIB,Micronodular,OPEN
1334,synpic27646.jpg,CHEST,What type of distributions is seen on this image?,ATTRIB,Micronodular,OPEN
1335,synpic40426.jpg,ABD,What is the location of the mass?,POS,Left rectus abdominus,OPEN
1336,synpic40426.jpg,ABD,Where is the mass?,POS,Left rectus abdominus,OPEN
1343,synpic42210.jpg,CHEST,What do the two bright dots represent?,PRES,nipple location,OPEN
1344,synpic42210.jpg,CHEST,What are the two hyperlucent inferior dots?,PRES,nipple location,OPEN
1345,synpic23648.jpg,ABD,In what plane was this image taken?,PLANE,Axial,OPEN
1346,synpic54391.jpg,HEAD,What are the locations of the hyperintensities?,POS,bilateral frontal lobes and body of corpus callosum,OPEN
1347,synpic54391.jpg,HEAD,Where are the hyperintensities located?,POS,bilateral frontal lobes and body of corpus callosum,OPEN
1351,synpic100176.jpg,CHEST,What laterality is this film?,MODALITY,PA,OPEN
1352,synpic56344.jpg,HEAD,What artery is the embolus from?,OTHER,distal basilar artery,OPEN
1353,synpic56344.jpg,HEAD,Where is the embolus located?,POS,distal basilar artery,OPEN
1356,synpic53867.jpg,HEAD,The mass is located in what region?,POS,suprasellar,OPEN
1357,synpic53867.jpg,HEAD,Where is the mass located?,POS,suprasellar,OPEN
1360,synpic54391.jpg,HEAD,The imaging modality is...?,MODALITY,MRI/FLAIR,OPEN
1361,synpic54391.jpg,HEAD,What is the image modality?,MODALITY,MRI/FLAIR,OPEN
1367,synpic33892.jpg,ABD,What image modality is this?,MODALITY,CT,OPEN
1368,synpic33892.jpg,ABD,What imaging modality was used,MODALITY,CT,OPEN
1373,synpic45699.jpg,HEAD,What two tributaries of blood vessels are impacted?,ABN,left ACA and MCA,OPEN
1374,synpic45699.jpg,HEAD,Which blood vessels are affected?,ABN,left ACA and MCA,OPEN
1380,synpic12210.jpg,CHEST,What imaging modality was used?,MODALITY,x-ray,OPEN
1381,synpic12210.jpg,CHEST,What type of image is this?,MODALITY,x-ray,OPEN
1384,synpic52248.jpg,HEAD,What organ is affected by pathology in this image?,ABN,brain,OPEN
1385,synpic52248.jpg,HEAD,What structures are involved?,ABN,"Caudate, putamen, left parietal",OPEN
1386,synpic56061.jpg,HEAD,Where is the pathology located?,POS,anterior cerebrum,OPEN
1387,synpic56061.jpg,HEAD,Which region of the brain is impacted?,POS,Anterior surface,OPEN
1390,synpic23648.jpg,ABD,What is behind the liver?,PRES,ascites,OPEN
1391,synpic23648.jpg,ABD,What finding is associated with liver?,PRES,ascites,OPEN
1392,synpic56061.jpg,HEAD,What type of image is this?,MODALITY,MRI-FLAIR,OPEN
1393,synpic56061.jpg,HEAD,what imaging modality was used,MODALITY,MRI-FLAIR,OPEN
1396,synpic52248.jpg,HEAD,What imaging plane is depicted here?,PLANE,axial,OPEN
1397,synpic52248.jpg,HEAD,What is the plane?,PLANE,axial,OPEN
1400,synpic31757.jpg,ABD,What is the location of the mass?,POS,right kidney,OPEN
1401,synpic31757.jpg,ABD,Where is the mass located?,POS,right kidney,OPEN
1402,synpic28718.jpg,ABD,How was this image taken?,MODALITY,With contrast,OPEN
1403,synpic54391.jpg,HEAD,What do the hyperintensities likely represent?,PRES,Hemorrhage,OPEN
1404,synpic54391.jpg,HEAD,What are the hyperintensities signaling?,PRES,Hemorrhage,OPEN
1408,synpic22794.jpg,ABD,What pathology does the image represent,ABN,kidney cyst,OPEN
1409,synpic22794.jpg,ABD,What is the mass most likely?,PRES,kidney cyst,OPEN
1410,synpic23008.jpg,ABD,How was this image taken?,MODALITY,With contrast,OPEN
1413,synpic24967.jpg,ABD,What is the lighter substance around the gallbladder,PRES,Pericholecystic fluid,OPEN
1414,synpic27142.jpg,HEAD,What type of imaging was used?,MODALITY,MR - T2 weighted,OPEN
1415,synpic27142.jpg,HEAD,Which image modality is this?,MODALITY,MR - T2 weighted,OPEN
1416,synpic45699.jpg,HEAD,What is the plane?,PLANE,axial,OPEN
1417,synpic45699.jpg,HEAD,What plane was used?,PLANE,axial,OPEN
1420,synpic25105.jpg,ABD,What is wrong with the pancreas?,ABN,fatty infiltration,OPEN
1421,synpic25105.jpg,ABD,What pathology does the pancreas deominstrate?,ABN,fatty infiltration,OPEN
1423,synpic28210.jpg,ABD,What organ exhibits pathology,ABN,jejunum,OPEN
1424,synpic28210.jpg,ABD,Which part of the bowel is involved by the mass?,ABN,jejunum,OPEN
1425,synpic24967.jpg,ABD,What plane are we in?,PLANE,Axial,OPEN
1426,synpic45699.jpg,HEAD,What is the modality used?,MODALITY,MR - ADC Map,OPEN
1427,synpic45699.jpg,HEAD,What imaging method was used?,MODALITY,MR - ADC Map,OPEN
1434,synpic12210.jpg,CHEST,What is at the base of the right lung?,PRES,nodules,OPEN
1435,synpic12210.jpg,CHEST,What pathology is shown at the lung bases?,PRES,nodules,OPEN
1436,synpic56061.jpg,HEAD,How was the image taken?,PLANE,axial,OPEN
1437,synpic56061.jpg,HEAD,What plane was used in this image?,PLANE,axial,OPEN
1439,synpic42210.jpg,CHEST,What image modality is this?,MODALITY,X-ray,OPEN
1442,synpic28718.jpg,ABD,The abscess is located in what structure?,POS,descending colon,OPEN
1443,synpic28718.jpg,ABD,Where is the abscess located?,POS,descending colon,OPEN
1444,synpic56344.jpg,HEAD,Where are the hyperlucencies located?,POS,"thalami, left occipital lobe, brainstem and left cerebellum",OPEN
1445,synpic56344.jpg,HEAD,Which areas are lighting up?,POS,"thalami, left occipital lobe, brainstem and left cerebellum",OPEN
1448,synpic33892.jpg,ABD,What organ is involved?,ABN,pancreas,OPEN
1449,synpic33892.jpg,ABD,Which organ is affected?,ABN,pancreas,OPEN
1454,synpic52248.jpg,HEAD,What imaging modality was used?,MODALITY,MR - Flair,OPEN
1455,synpic52248.jpg,HEAD,What type of image modality is this?,MODALITY,MR - Flair,OPEN
1458,synpic23648.jpg,ABD,What organ is enlarged?,PRES,Spleen,OPEN
1459,synpic23648.jpg,ABD,Which organ is abnormally large?,PRES,Spleen,OPEN
1460,synpic53867.jpg,HEAD,What does the enhancing periphery of the mass represent?,PRES,Calcification,OPEN
1461,synpic53867.jpg,HEAD,What is the outer rim of the mass?,PRES,Calcification,OPEN
1465,synpic52988.jpg,CHEST,Blunting of the costophrenic angles indicate what condition?,OTHER,pleural effusion,OPEN
1466,synpic52988.jpg,CHEST,What does the blunting of the costophrenic angles indicate?,OTHER,pleural effusion,OPEN
1473,synpic19853.jpg,ABD,Which plane is the image in?,PLANE,Axial,OPEN
1474,synpic52932.jpg,CHEST,What organ system is visualized?,ORGAN,chest,OPEN
1480,synpic32981.jpg,ABD,What imaging modality was used?,MODALITY,CT,OPEN
1510,synpic676.jpg,CHEST,What modality is used to take this image?,MODALITY,XR,OPEN
1546,synpic29048.jpg,CHEST,What part of the body does this radiograph show?,ORGAN,chest,OPEN
1560,synpic60831.jpg,HEAD,What type of image modality is used?,MODALITY,MRI,OPEN
1566,synpic17145.jpg,CHEST,What type of imaging is this?,MODALITY,Xray,OPEN
1575,synpic21776.jpg,CHEST,What organ is superimposed on the lung fields?,ORGAN,Breasts,OPEN
1585,synpic43609.jpg,ABD,What modality is used in this image?,MODALITY,CT,OPEN
1613,synpic26248.jpg,CHEST,Which orientation is the image acquired?,PLANE,PA,OPEN
1617,synpic27655.jpg,CHEST,What imaging modality is used?,MODALITY,Xray,OPEN
1635,synpic57935.jpg,HEAD,What image plane is this?,PLANE,Axial,OPEN
1637,synpic100176.jpg,CHEST,What modality was used?,MODALITY,plain film,OPEN
1648,synpic56344.jpg,HEAD,What modality was used for this image?,MODALITY,MRI,OPEN
1658,synpic30215.jpg,ABD,What is the image plane?,PLANE,Axial,OPEN
1661,synpic53574.jpg,HEAD,In what plane is the above image?,PLANE,axial,OPEN
1666,synpic28987.jpg,CHEST,What imaging modality is used?,MODALITY,plain film xray,OPEN
